User Link,Reputation,DisplayName,Location
"2900727","173","Kitkatnik","Miami, FL"
"2929860","171","David Baez","Miami, FL"
"784886","171","Leonardo Borsten","Miami, FL, USA"
"232286","168","Justin Kent","Miami, FL"
"1434022","167","tomordonez","Miami, FL"
"1284143","164","jroberts","Miami, FL"
"943571","161","Jiraheta","Miami, FL"
"3126298","161","Dexter Morgan","Miami, FL"
"1692933","160","quilesbaker","Miami, FL"
"2043886","159","Lazaro Gamio","Miami, FL"
"1870363","156","gustavoanalytics","Miami, FL"
"535639","155","Aerozeek","Miami, FL"
"4405473","153","k170","Miami, FL"
"786462","151","DataDino","Miami, FL"
"611828","150","ofosho","Miami, FL"
"908157","149","Digital Fire","Miami, FL"
"2729501","148","Hiboomedia","Miami Beach, FL"
"1046691","148","Pedro_Uno","Miami, FL"
"2989286","145","httpgio","Miami, FL"
"236672","138","Rodney","Miami, FL"
"938730","134","Jonathan LeBlanc","Miami, FL, United States"
"1518382","134","caridy","Miami, FL"
"1075936","133","vasc0x","Miami, FL"
"195394","133","CreativEliza","Miami, Florida"
"697809","132","Craig","Miami, FL"
"1034258","131","elopez","Miami, FL"
"3215800","130","jvicab","Miami Springs"
"2197288","128","Kennysmoothx","Miami"
"1576574","123","Roderick","Miami, FL"
"3147774","123","Jona","Miami, FL"
"2396981","121","SESPROUL","Miami, FL"
"4642279","121","David Avellan","Miami, FL"
"426753","118","Julian Bonilla","Miami, FL"
"1378252","116","karma_police","Miami, FL"
"2631050","116","mal","Miami, FL"
"4749937","115","Luis Averhoff","Miami, Florida"
"1889157","113","Hamada","Miami, FL"
"3761565","113","AlexT","Miami, FL"
"1443822","111","Lukas Bijaminas","North Miami"
"2517261","111","Carlos Forero","Miami, FL"
"4765229","108","Yami Medina","Miami, FL"
"1100765","108","Alex","Miami, FL"
"96333","108","Eric Schulman","Miami, FL"
"3997720","106","Pedro Varela","Miami, Fl."
"2153516","105","kamayd","Miami, FL"
"3376224","105","userRandom","Miami, FL"
"214020","102","WWarrior","Miami, FL"
"282145","101","Jay Jackson","Miami, FL"
"1792296","101","Chauncellor","Miami, FL"
"1387472","101","MauroPerez","Miami FL"
"2360747","101","slashApex","Miami, FL"
"833600","96","Freddy Vega","Miami, FL"
"629511","95","flush96","Miami, FL"
"597433","95","Chris","Miami, FL"
"2464085","94","alayers2","Miami, FL"
"1485709","93","Ramon Gonzalez","Miami, Fl"
"1003537","93","Warren J Thompson","Miami, FL"
"432406","91","Joseph Perla","Miami, FL"
"1748698","91","Brian McDonald","Miami, FL"
"2788650","89","Javier Lopez","Miami, FL"
"3557390","89","w_lpz","Miami"
"3323831","87","Xvegas","Miami"
"1166061","83","jorgeAChacon","Miami"
"2495177","82","Oscar Batlle","Miami, FL"
"1042460","81","romelmederos","Miami, FL"
"2694770","81","Pablo Valdes","Miami, FL"
"111224","79","Chuckie","Miami, FL"
"3830923","78","Alex","Miami, FL"
"471111","78","David Turton","Miami, FL"
"2130212","78","jiggzson","Miami, FL"
"39360","77","richyz","Miami, FL"
"245085","77","VS.Php","Miami, FL"
"1689781","76","Torchify","Miami, FL"
"2712302","76","magdiel","Miami, FL"
"2800623","74","norgematos","Miami, FL"
"2174714","73","user2174714-1","Miami, FL"
"2476255","73","pita","Miami, FL"
"528077","73","Johann","Miami, FL"
"1520994","73","Blues76","Miami, FL"
"290196","72","Alex","Miami, FL"
"402613","72","Fernando","Miami, FL"
"408931","71","lando","Miami, FL"
"4318104","71","mibrito","Miami, FL"
"2966899","71","Dayany","Miami, FL"
"3657822","71","joker1979","Miami, FL"
"4142316","68","Stealth Pyro","Miami Lakes, FL"
"1284432","68","eddroid","Miami, FL"
"1084927","68","Gabe Nones","Miami, FL"
"4317315","67","He Zhang","Miami, FL"
"758119","66","Michel Fornaris","Miami, FL"
"631569","66","Andres","Miami, FL"
"2300031","66","charlesclements","Miami, FL"
"3743109","66","cyeluri","Miami, FL"
"1772000","66","phil1630","Miami, FL"
"959342","65","Ryan Parrish","Miami, FL"
"2209086","65","elvismdev","Miami, FL"
"282837","65","Emmanuel P","Miami, FL"
"3457202","64","CAS","Miami, FL"
"670238","63","DavidF","Miami, FL"
"1336988","63","codelitt","Miami"
"258993","61","Jack Ferrari","Miami, FL"
"937784","60","David Shaw","Miami, FL"
"1163860","59","Michael Leveton","Miami, FL"
"1819401","57","wmarquez","Miami, FL"
"186527","57","M Lopez","Miami, FL"
"1451787","56","David Cabrera","Miami, FL"
"3609171","56","Ivan Jovanovic","Miami, FL"
"5741422","56","Adolfo Barreto","Miami, FL"
"1640993","55","Lexy Feito","Miami, FL"
"364950","55","Tony","Miami, FL"
"1157496","52","Tony","Miami, FL"
"2669005","51","Phil50","Miami, FL"
"237618","51","hcabral","Miami, FL"
"1367245","51","damusix","Miami, FL"
"201398","51","Latrokles","Miami, FL"
"2769242","51","Sydney Grace","Miami, FL"
"4191515","51","HotRod","Miami, FL"
"3562214","49","Gustavo Oliveira","Miami, FL"
"1073791","49","Robert Araujo","Miami Lakes, FL"
"3377450","49","user3377450","Miami, Florida"
"2483830","48","thisismario123","Miami"
"1887899","48","Chris Xbill Owen","Miami, FL"
"686595","48","ufmemo","Miami, FL"
"2195950","47","orlaqp","Miami, FL"
"685049","46","Klodo","Miami, FL"
"1864478","46","BobbyT28","Florida International University Miami"
"4342231","46","Ameji012","Miami, FL"
"1902114","46","Andy Pineda","Miami, FL"
"3212618","46","Alesh Houdek","Miami, Prague, etc."
"1781210","46","Jeff","Miami Beach, FL"
"328288","44","James Evans","Miamisburg, OH"
"39011","44","Adrian","Miami, FL"
"2821594","43","Mitch","Miami, FL"
"4606200","42","Geovani dos Santos","Miami, FL"
"2023937","42","AlexGreat","Miami, FL"
"2088923","42","MarianaM","Miami, FL"
"1560315","42","TopoX","Miami, FL"
"2903084","42","TrojanNemo","Miami, Florida"
"1229866","41","Mike Petrovich","Miami, FL"
"4496655","41","Mark Fitchett","Miami, FL"
"2375858","41","Amit M","Miami"
"3938250","41","Raul Rivero","Miami, FL"
"1269733","40","nAguirre","Miami, FL"
"966125","40","Eric A. Gravel","Miami, FL, USA"
"714788","39","Mario","Miami, FL"
"3051642","39","Xavier","Miami, FL"
"2121915","38","Rafael","Miami, FL"
"1114779","37","Deekshant","Miamisburg, OH"
"4577311","36","Hamid","United States, Miami"
"4455289","36","Rich","Miami, FL"
"506222","36","Jose","Miami, FL"
"922826","36","jdMiami","Miami, FL"
"4585081","36","Ernesto Luis","Miami, FL, United States"
"523106","36","Lauren","Miami, FL"
"1014929","36","Carlos Lima","Miami, FL"
"1482875","36","giantNinja","Miami, FL"
"33510","36","arecio","Miami, FL"
"2926686","36","CrewMiami","Miami, FL"
"5304159","35","Asan","Miami, FL"
"5009180","35","Oscar","Miami, FL"
"3812979","35","emorales","Miami, FL"
"3617875","34","Jimboscookies","Miami"
"922882","33","Jose Carlos Carballo","Miami, FL"
"3879359","33","lopezdp","Miami, FL"
"280732","33","Jonathan Foster","Miami, FL"
"2600740","32","zweettooth","Miami, FL"
"1896659","32","neilg","Miami, FL"
"2668881","32","ArturoCivit","Miami, FL"
"2946189","32","Yordis Prieto Lazo","Miami, FL"
"165730","32","Nikolai","Miami, FL"
"499970","31","alfyboza","Miami, FL"
"356739","31","gdr","Miami, FL"
"2234525","31","Alfonso Martinez Lagares","Miami, FL"
"931642","31","Leniad Vera","Miami, FL"
"25690","31","Wayne","Miami Beach, FL"
"4242085","31","Eric Bris","Miami, US"
"1898876","30","krisfremen","Miami, Florida"
"1319333","30","Gosundi","Miami, FL"
"3631941","30","jmolmo","Miami, FL"
"1905543","30","djoliverm","Miami, FL"
"3195121","29","dcaping","Miami, FL"
"600851","29","Jamie Little","Miami, FL"
"5400394","29","Anthony Rossello","Miami, FL"
"4031426","28","Richard de Garis","Miami"
"459060","28","MikesTooLz","Miami, FL"
"1337823","28","Harry","Miami, FL"
"3550342","28","ItsBradMorgan","Miami, FL"
"3711847","28","raqCecisszio","Miami, FL"
"3055522","27","dhernandez","Miami, FL"
"1720861","26","Elias Sierra","Miami, FL"
"850838","26","Antonio Rodriguez Martinez","Miami, FL"
"2643369","26","Jawaid Akhtar","Miami, FL"
"1621685","26","Nick2474","Costa Rica & Miami FL"
"2155093","26","Im_living_on_the_IO","Miami, FL"
"2862915","26","dexter","Miami Florida"
"2010044","25","bufo333","Miami, Florida"
"3784248","25","Rene Alejandro Santiago","Miami, Florida"
"2388261","25","IMerin","Miami, FL"
"323756","25","Krisstian","Miami"
"1076391","24","elation","Miami, FL"
"1527101","24","qwesr","Miami, FL"
"1082150","23","wel","Miami"
"1276462","23","Angel Ramirez Leyva","North Miami Beach, FL"
"358285","23","bitsoda","Miami, FL"
"1449787","23","FFiloseta","Miami, FL"
"486517","23","Giovanny Gutierrez","Miami, FL"
"2517967","23","BruceTheGoose","Miami Florida"
"3233598","22","Wei","Miami, FL"
"1255027","21","Edson","Miami"
"223468","21","dvvc","Miami, FL"
"1729727","21","Omyda ZX1","Miami, FL"
"1791699","21","elixai","Miami, FL"
"4802410","21","Jorge Barboza","Miami, FL"
"3957256","21","san1901","Miami, FL"
"215008","21","janierdavila","Miami, FL"
"3692009","21","Giuliano","Miami, FL"
"2168027","21","DSadaka","North Miami Beach"
"2168245","21","MBA","Miami, FL"
"1892718","21","mrdazm","Miami, FL"
"4036629","21","Peter Alexander Kamenkovich","Miami, FL"
"2566308","21","Matt Trivisonno","Miami Beach, FL"
"3245964","21","Rei","Miami, FL"
"1518034","21","Karel Bertin Jr","Miami Lakes"
"2529295","21","SDLC Engineering","Miami"
"3865517","21","Abraham Alvarez","Miami, FL"
"2832257","21","MichaelCorey","Miami, FL"
"3491131","20","DangoDoes","Miami"
"2062600","20","JustJeffy","Miami"
"4974555","20","J Arango","Miami FL"
"6958","20","Ptah Dunbar","Miami Beach, FL"
"2619322","19","Sergii","Miami, FL"
"1416406","18","YoItsBen","Miami, FL"
"5906462","18","Jake The Snake","Miami, FL"
"3605323","18","Brian","Miami, FL"
"814515","18","SeanRouz","Miami, FL"
"2705232","18","dmxt","Miami, FL"
"5915839","18","Andy W","Miami"
"1382662","18","crow1170","Miami, FL"
"2691111","18","fearlex","Miami, FL"
"1359758","18","cm94","Miami, FL"
"2828679","17","AshVLSI","Miami, FL"
"2540718","17","JCSNV","Miami, FL"
"947993","17","Gokhan","Miami, FL"
"1678606","16","djlosada","Miami"
"1519123","16","Piyali","Miami, FL"
"644138","16","cbortz","Miami, FL"
"1812394","16","abelbm","Miami, FL"
"565940","16","Junoonis","Miami, FL"
"650200","16","Robert","Miami Beach, FL"
"4403625","16","kevinchooski","Miami, FL"
"211346","16","yandy","Miami, FL"
"4602526","16","yopez83","Miami, FL"
"716632","16","arnexmx","Miami, FL"
"3105731","15","Bulk Web Solutions","Miami, FL"
"1972970","15","g00n3r","Miami, FL"
"1013455","15","BigHonkingDeal","Miami, FL"
"2191385","15","Chespy","Miami, FL"
"984306","15","ilabrada","Miami"
"2628581","15","Jensenwd","Miami"
"4091773","15","Javier Perez","Miami, FL"
"2537271","14","theShader","Miami, FL"
"5601853","14","CRichardson3","Miami, FL"
"2737849","13","MVC Newbie","Miami, FL"
"1134738","13","Sunny","Miami"
"3293525","13","pkearney06","Miami, FL"
"3161421","13","Zisko","Miami, FL"
"93223","13","LeandroM","Miami, FL"
"947087","13","Kris","Miami"
"149781","13","Alejandro","Miami, FL"
"4544741","13","VinCardoso","Miami, FL - EUA"
"3451507","13","Delirious Intentions","Miami FL"
"2853067","13","yshikita","Miami, FL"
"4169467","13","Paul M.","Miami, FL United States"
"1945748","12","Cesar","Miami, FL"
"638861","12","Alex","Miami, FL"
"3658215","12","Wei","Miami, FL"
"4233736","12","PtheGr8","Miami"
"2701834","11","rcbaker","Miami Beach, FL"
"1513597","11","カオスマスター","Miami, FL"
"2797505","11","Jerry Phillips","Miami, FL"
"1349255","11","graphica76","Miami, FL"
"1793424","11","Orkun Alabaz","Miami Beach, FL"
"1461101","11","Gus","Miami, FL"
"2607914","11","Jorge Travieso","Miami, FL"
"3731277","11","Achu","Miami, FL"
"2172022","11","gkstr1","Miami"
"1243412","11","Jay","Miami, FL"
"3329230","11","duelingwarlord","Miami"
"4993950","11","Mattylaa444","Miamitown, OH"
"1921808","11","punosound","Miami Beach"
"3241845","11","JFusco","Miami, FL"
"5335708","11","user5335708","Miami Beach, FL"
"3100655","11","Walt Quesada","Miami, FL"
"343666","11","SamBarr7","Miami, FL"
"1331706","11","Matthew Cupps","Miami, Florida"
"4002130","11","Dusty Reins","Miami, TX"
"4450240","11","Carlos Ovalles","Miami Fl"
"3724422","11","gilles_yvetot","Miami, FL"
"3481394","11","RimskyDon","Miami, FL"
"3482425","11","reiniergs","Miami"
"834409","10","Bill","Miami, FL"
"3890022","10","MuyGalan","Miami"
"2028234","10","Kornik","Miami"
"5285440","9","Lenny G","Miami, FL"
"301192","9","Fernando","Miami, FL"
"2762381","8","red5stand1ngby","Miami, FL"
"4929667","8","iEngineer","Miami, Florida"
"12369","8","Alfonso Pajares","Miami, FL"
"3579408","8","WendyMcF","Miami, FL"
"3366475","8","cubaton3","Miami"
"85249","8","lstutzman","Miami, FL"
"2457321","8","ScalaEnthusiast","Miami, FL"
"2387634","8","Mahabee","Miami, FL"
"950947","8","Emryss","Miami, FL"
"1872529","8","Dimitry Chamy","Miami, FL"
"1215065","8","Dr Kurubit","Miami, FL"
"3938322","8","Raitlin","Miami, FL"
"2908210","8","noahmason","Miami, FL"
"2323394","8","Will Fetherolf","Miami, FL"
"3458055","8","Solarkhan","Miami, FL"
"3276773","8","Ichneutic","Miami, Florida"
"1755328","8","Josh Caleb Mayorga","Miami, FL"
"1391309","8","MikeL","Miami, FL"
"3989064","7","dlugo06","Miami, FL"
"5421831","6","augusto2012","Miami, FL"
"2459893","6","Nesto_11","Miami, FL"
"1383103","6","Santhosh Sivajothi","Miami"
"3873569","6","mcostales84","Miami, FL"
"3033260","6","diegoroberto","Miami, FL"
"3223889","6","E.Jean","Miami, FL"
"1241247","6","Jacob","Miami, FL"
"598574","6","sebastienb","Miami, FL"
"2692676","6","AJR","Miami, FL"
"3556559","6","SamiSam","Miami, FL"
"5100304","6","Abi Green","Miami, FL"
"659409","6","theitrain","Miami, FL"
"5540186","6","CodeDexter","Miami, FL"
"1882511","6","user1882511","Miami, FL"
"2288071","6","Melanie P","Miami, FL"
"3645636","6","Cosmo","Miami"
"3699574","6","Ross Terman","Miami, FL"
"2000704","6","dataowl","Miami, FL"
"1251159","6","netbyte","Miami, FL"
"1424667","5","Erik","Miami, Florida"
"3225151","5","Nittin","Miami, FL"
"1691590","5","MAD2492","Miami, FL"
"4999583","5","Jonathan","Miami, FL"
"4611936","5","Lighting Jimmy Joe Johnson","Miami, FL"
"2040551","5","Carlos Espinosa","Miami, FL"
"3273845","5","gingobr","Miami, FL"
"2802796","4","Jonathan Piccolo","Miami, FL"
"1687782","4","ronluna","Miami, FL"
"3391081","3","DaveBenRoberts","Miami, FL"
"1762354","3","rcach001","Miami"
"3407901","3","The Chris Love","Miami Beach, FL"
"1670121","3","Alex Gonzalez","Miami, FL"
"2150339","3","mmoreno","Miami, FL"
"1275826","3","Antonio Vitor","Miami"
"1188373","3","Bruce","Miami, FL"
"453164","3","Georgina Halfkenny","Miami Beach, FL"
"1938473","3","Kerwin Londono","Miami, FL"
"3097284","3","rog.computer5","Miami,Fl"
"4367815","3","Charles Walter","Miami, FL"
"2824163","3","JohnQ","Miami, FL"
"505132","3","sevastopol","Miami, FL"
"3219496","3","jvillasante","Miami, FL"
"1655559","3","anicolaspp","Miami FL"
"230734","3","Rafa Ramirez","Miami, FL"
"4075436","2","Joseph H","Miami, FL"
"5036934","2","RC SoBe","Miami, FL"
"5103730","1","Nestor Villalobos","Miami, FL"
"5104088","1","Raja Prabu","Miamisburg, OH"
"5744602","1","Micah Resnick","Miami, FL"
"5777243","1","Hess Major","Miami, FL,USA"
"3737868","1","esossai","Miami, Florida"
"3896986","1","user3896986","Miami, FL"
"3897061","1","DroidZilla","Miami, FL"
"4698605","1","Leo","Miami, FL"
"1247070","1","jennysharps","Miami, FL"
"1247200","1","IrishGringo","Miami, FL"
"203609","1","ecocentrik","Miami, FL"
"1566808","1","CareCloud","Miami, FL"
"1568041","1","Richard Conway","Miami, FL"
"1628825","1","Paradiso Solutions","Miami, FL"
"1977550","1","Matthew Levy","Miami, FL"
"2872544","1","Demian","Miami, FL"
"2957404","1","Lazarus Santin","Miami, Florida"
"3113299","1","user3113299","Miamisburg, OH"
"3621193","1","Antonio Mendes","Miami"
"3474117","1","jlurie","Miami, FL"
"2801026","1","Jaxian","Miami, FL, United States"
"2177318","1","skimos","Miami, FL USA"
"2711182","1","WordWorker","Miami, FL"
"2757456","1","Michael Chacon","Miami Beach"
"2800289","1","Eric Alatza","Miami, FL"
"451165","1","Ryan Steinhardt","Miami, FL"
"952758","1","compiledinnov","Miamisburg, OH"
"952938","1","Angel Casado","Miami, FL"
"1175741","1","PZMAVEN","Miami FL"
"2144610","1","Charlie McClaskie","Miami, Florida"
"1612131","1","Kit Cross","Miami, USA"
"1614380","1","Marc Fest","Miami"
"2675591","1","Giribarne","Miami, FL"
"2867039","1","ralphgleason","Miami, FL"
"2904532","1","Sebastian Cabrera","Miami, FL"
"3016971","1","uselitepeptides","Miami Beach"
"3059709","1","wilibar","Miami, FL"
"3238224","1","Li.F","Miami"
"4444712","1","Ada Wong","USA. Miami"
"5199642","1","Prisskreative","Miami, FL"
"5373574","1","yellowpepper_bjon","Miami, FL, United States"
"5472745","1","vdtejeda","Miami, FL"
"5749373","1","Jorge Ledesma","Miami"
"5810998","1","Dezmen","Miami, FL"
"3204504","1","Scott Smith","Miami, FL"
"4059854","1","Sean","Miami, Florida"
"5435344","1","Louisa","Miami, FL"
"5784133","1","Ilona Hott","Miami, US"
"4122364","1","Daniel Jaquez","NYC / Miami"
"4156822","1","Frank The-Tank Rycak","Beijing / Miami"
"4183791","1","Jason Gonzalez","Miami Florida"
"4279878","1","Jose Perez","Miami, FL"
"4334865","1","El Beastie Evans","Miami, FL"
"4758828","1","John Hay","Miami,FL"
"4758888","1","John F. Sklavounos","Miami, FL"
"1735656","1","Artem K.","Miami, FL"
"1736667","1","jacnet","Miami, FL"
"2137052","1","David Cabrera","Miami, FL"
"2138584","1","Giovanni Pascotto Bonin","Miami, FL"
"2203819","1","Bryan Uribe","Miami, Florida"
"2415480","1","Alex","Miami, Florida - USA"
"3316286","1","Xavier Banegas","Miami, FL"
"3353072","1","samg","Miami, FL"
"3353675","1","Klaus Barkhausen","Miami, FL"
"2745160","1","atoro","Miami"
"3096725","1","kjosephboyd","Miami, Florida"
"3097125","1","vignali","Miami, FL"
"5174070","1","Craig Zearfoss","Miami Beach, FL"
"5349631","1","KOKO Design Studio","Miami, Florida"
"4579896","1","Dennis Christilaw","Miami, FL"
"3669247","1","miguelocarvajal","Miami, FL"
"2646458","1","brocka","Miami, FL"
"2318087","1","yandy.r","Miami, FL"
"2320507","1","Luis Giro","Miami, FL"
"1788925","1","ChuckWagon","Miami, FL"
"3926308","1","James Angelo","Miami, FL"
"3998100","1","Christian Banchs","Miami, FL"
"4024984","1","Tatiana Riestra","Miami Lakes, FL 33014"
"4214658","1","DangeRuss","Miami, FL"
"3303823","1","Eddie H.","Miami, FL"
"3450414","1","Victor Gonzalez","Miami, FL"
"1342422","1","Luis Romero","Miami, FL"
"1470617","1","TroyM","Miami, FL"
"748945","1","CarlosOh","Miami, FL"
"342400","1","Jaxel Johnson","Miami, FL"
"1950330","1","johndgreat72","Miami United States"
"1951259","1","IMSAS API","Miami, FL"
"1601693","1","IvanSQL","Miami, FL"
"2358934","1","Jorge Cabot","Miami, FL"
"2359140","1","Lovemarke","Miami, FL"
"2497561","1","CDX86I","Miami, FL"
"2623704","1","cperez","Miami, FL"
"3019371","1","ebr","Miami, FL"
"3566004","1","Rockers","Miami FL"
"3602447","1","user3602447","Miami, FL"
"4414658","1","Robert James","Miami"
"4446327","1","Walter Hannah","Miami, FL"
"4761592","1","jorda0mega","Miami, FL"
"4916768","1","N3 Group","Miami"
"4950113","1","Luis La Torre","Miami Beach, FL"
"5262139","1","Maddie","Miami, FL"
"5331923","1","M. Hospedales","Miami, FL"
"5429697","1","Karosu","Miami, FL"
"3901286","1","Maggie Rivers","Miami, FL"
"3940830","1","Werner Blumenthal","Miami, FL"
"3984231","1","Gio Galvis-Giron","Miami Beach, FL"
"4219612","1","theresadawn","Miami, FL"
"4219715","1","Hiram","Miami, FL"
